,Scopus SourceID,Title,CiteScore,Percentile,Citation Count,Scholarly Output,Percent Cited,SNIP,SJR,RANK,Rank Out Of,Publisher,Type,OpenAccess,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Quartile,Top 10% (CiteScore Percentile),Scopus SourceID.1,Print-ISSN,E-ISSN,Subject Area
0,28773.0,Ca-A Cancer Journal for Clinicians,130.47,99.0,16961.0,130.0,70.0,88.164,61.786,1.0,120.0,Wiley-Blackwell,Journal,NO,2720.0,Hematology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/28773,00079235,15424863,Medicine
1,28773.0,Ca-A Cancer Journal for Clinicians,130.47,99.0,16961.0,130.0,70.0,88.164,61.786,1.0,323.0,Wiley-Blackwell,Journal,NO,2730.0,Oncology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/28773,00079235,15424863,Medicine
2,19434.0,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,63.12,99.0,1010.0,16.0,100.0,32.534,34.638,1.0,87.0,Centers for Disease Control and Prevention (CDC),Journal,YES,2713.0,Epidemiology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19434,10575987,15458601,Medicine
3,19434.0,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,63.12,99.0,1010.0,16.0,100.0,32.534,34.638,1.0,241.0,Centers for Disease Control and Prevention (CDC),Journal,YES,3306.0,Health(social science),Quartile 1,Top 10%,https://www.scopus.com/sourceid/19434,10575987,15458601,Social Sciences
4,19434.0,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,63.12,99.0,1010.0,16.0,100.0,32.534,34.638,1.0,106.0,Centers for Disease Control and Prevention (CDC),Journal,YES,2307.0,"Health, Toxicology and Mutagenesis",Quartile 1,Top 10%,https://www.scopus.com/sourceid/19434,10575987,15458601,Environmental Science
5,19434.0,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,63.12,98.0,1010.0,16.0,100.0,32.534,34.638,1.0,25.0,Centers for Disease Control and Prevention (CDC),Journal,YES,3605.0,Health Information Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19434,10575987,15458601,Health Professions
6,23340.0,Chemical Reviews,51.08,99.0,44389.0,869.0,97.0,11.970,23.414,1.0,359.0,American Chemical Society,Journal,NO,1600.0,General Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/23340,00092665,15206890,Chemistry
7,23350.0,Chemical Society Reviews,39.42,99.0,42223.0,1071.0,98.0,7.967,17.633,2.0,359.0,RSC,Journal,NO,1600.0,General Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/23350,03060012,14604744,Chemistry
8,58530.0,"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",36.13,98.0,1120.0,31.0,100.0,19.730,33.557,1.0,46.0,US Department of Health and Human Services,Book Series,NO,3319.0,Life-span and Life-course Studies,Quartile 1,Top 10%,https://www.scopus.com/sourceid/58530,15518922,15518930,Social Sciences
9,29719.0,Reviews of Modern Physics,34.49,99.0,4242.0,123.0,94.0,15.292,17.567,1.0,202.0,American Physical Society,Journal,NO,3100.0,General Physics and Astronomy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/29719,00346861,15390756,Physics and Astronomy
18,20651.0,Annual Review of Immunology,29.94,99.0,2126.0,71.0,100.0,6.665,21.681,1.0,164.0,Annual Reviews Inc.,Journal,NO,2723.0,Immunology and Allergy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/20651,07320582,15453278,Medicine
